,Agency,Communion,Social Connection,Antisocial,Positive,Year,Year_Bin
0,0.0,0.0,0.16326530612244897,0.0,0.047619047619047616,1950,1950s
1,0.12807881773399016,0.0049261083743842365,0.06060606060606061,0.0,0.1111111111111111,1950,1950s
2,0.17391304347826086,0.0,0.10144927536231885,0.0,0.07246376811594203,1950,1950s
3,0.10256410256410256,0.0,0.09090909090909091,0.0,0.09090909090909091,1950,1950s
4,0.0,0.0625,0.0625,0.0,0.03125,1950,1950s
5,0.07532467532467532,0.012987012987012988,0.05486284289276808,0.0,0.057356608478802994,1950,1950s
6,0.06694560669456066,0.0,0.08366533864541832,0.0,0.15139442231075698,1950,1950s
7,0.06862745098039216,0.0,0.08544303797468354,0.0031645569620253164,0.03481012658227848,1950,1950s
8,0.0,0.03260869565217391,0.20408163265306123,0.0,0.04081632653061224,1951,1950s
9,0.0891089108910891,0.0,0.1619047619047619,0.0,0.10476190476190476,1951,1950s
10,0.16521739130434782,0.0,0.09163346613545817,0.0,0.00398406374501992,1951,1950s
11,0.1111111111111111,0.0,0.13714285714285715,0.0,0.10285714285714286,1951,1950s
12,0.09655172413793103,0.013793103448275862,0.11920529801324503,0.013245033112582781,0.039735099337748346,1951,1950s
13,0.09859154929577464,0.0,0.09868421052631579,0.0,0.02631578947368421,1951,1950s
14,0.17391304347826086,0.0,0.10144927536231885,0.0,0.07246376811594203,1951,1950s
15,0.0625,0.0,0.10429447852760736,0.0,0.03680981595092025,1951,1950s
16,0.06422018348623854,0.0,0.03305785123966942,0.0,0.024793388429752067,1951,1950s
17,0.09361702127659574,0.01276595744680851,0.1276595744680851,0.0,0.02127659574468085,1951,1950s
18,0.09090909090909091,0.0,0.08441558441558442,0.0,0.032467532467532464,1951,1950s
19,0.0891089108910891,0.0,0.1619047619047619,0.0,0.10476190476190476,1951,1950s
20,0.14482758620689656,0.0,0.17687074829931973,0.0,0.05442176870748299,1952,1950s
21,0.07563025210084033,0.01680672268907563,0.15966386554621848,0.0,0.025210084033613446,1952,1950s
22,0.17391304347826086,0.0,0.1282051282051282,0.0,0.08547008547008547,1952,1950s
23,0.054878048780487805,0.012195121951219513,0.11363636363636363,0.0,0.026515151515151516,1952,1950s
24,0.11464968152866242,0.0,0.21766561514195584,0.0,0.0694006309148265,1952,1950s
